  ntgrid  nperiod  ntheta, drhodpsi, rmaj, shat
 54,  2,  36,  1.8196496347311206,  2.8241356938383615,  5.8798848117303759
     gbdrift     gradpar       grho    tgrid
  -35.616029881      0.10742677948      0.82927480136       6.0674399743    
  -41.394313616      0.10742677948       1.0991099011       6.2298031339    
  -43.594655180      0.10742677948       1.2581980857       6.3372757749    
  -42.737358925      0.10742677948       1.3570885971       6.4205982418    
  -40.525983499      0.10742677948       1.4235151500       6.4906974307    
  -38.683909209      0.10742677948       1.4559583600       6.5529382080    
  -35.141158734      0.10742677948       1.4457196534       6.6111638790    
  -26.627334565      0.10742677948       1.4102304025       6.6682952990    
  -12.247014110      0.10742677948       1.3811036584       6.7257624279    
   4.3580684834      0.10742677948       1.3938454836       6.7831751057    
   18.077771663      0.10742677948       1.4371683500       6.8394540259    
   24.356873312      0.10742677948       1.4865058285       6.8945182436    
   24.204962873      0.10742677948       1.4865250229       6.9503834626    
   25.610449960      0.10742677948       1.4216151574       7.0108723727    
   32.358696993      0.10742677948       1.3204003322       7.0799105134    
   40.168482594      0.10742677948       1.2296376642       7.1601084805    
   44.330942888      0.10742677948       1.1237501502       7.2545746221    
   45.193609613      0.10742677948      0.96903156980       7.3709612512    
   43.257323497      0.10742677948      0.77966662467       7.5215738731    
   38.891640434      0.10742677948      0.62445557650       7.7156930543    
   32.591323710      0.10742677948      0.52657625544       7.9525954204    
   25.145000731      0.10742677948      0.47918172630       8.2218956838    
   17.637106953      0.10742677948      0.48241243120       8.5032264759    
   12.022521249      0.10742677948      0.55855215056       8.7625606991    
   7.7489952579      0.10742677948      0.65857531851       8.9742091865    
   4.4007686736      0.10742677948      0.72570013575       9.1439779087    
   1.5134502517      0.10742677948      0.76588545405       9.2898383461    
  -1.0349517833      0.10742677948      0.78143644221       9.4247779608    
     cvdrift            gds2            bmag   tgrid
  -1.6215127439       13827.561207       1.5926479203      -9.4247779608    
   1.9051952403       13340.543264       1.5893984384      -9.2908148707    
   5.4251668388       12484.370714       1.5778103990      -9.1485687129    
   8.8530131772       10685.655311       1.5561773471      -8.9853023391    
   12.371921468       8151.5232282       1.5192608162      -8.7811271269    
   15.368958606       4965.3620966       1.4575058641      -8.5000200273    
   16.422567191       2114.9010313       1.3574439233      -8.0798006164    
   13.009164256       539.23346589       1.2150155602      -7.4364218815    
   26.287272177       1572.0554968       1.0635749774      -6.8235402392    
   37.123752735       5183.4399420      0.96904220170      -6.4989306400    
   42.483303735       9112.2716098      0.91253336169      -6.3365674805    
   44.585743586       11946.545976      0.87341413409      -6.2290948395    
   43.688687667       13896.624921      0.84444637729      -6.1457723726    
   41.445073037       15285.719360      0.82247443809      -6.0756731836    
   39.584864511       15985.129427      0.80476880011      -6.0134324064    
   36.051812781       15753.697073      0.78944025455      -5.9552067354    
   27.558663806       14976.807373      0.77696939617      -5.8980753154    
   13.180018180       14344.680350      0.76896515720      -5.8406081865    
  -3.4465245360       14588.152827      0.76748152282      -5.7831955086    
  -17.209489094       15490.352226      0.77184490825      -5.7269165885    
